Season,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,Notes
2016-2017,R16,deLeverkusen,8,2,4,2,11,11,0,10,"25,894","Kevin Kampl,Kevin Volland... -1",Bernd Leno
2016-2017,GR,dkFC Copenhagen,6,2,3,1,7,2,+5,9,"30,596",Mathias Jørgensen-2,Robin Olsen
2016-2017,GR,frLyon,6,2,2,2,5,3,+2,8,"50,028",Corentin Tolisso-2,Anthony Lopes
2016-2017,GR,engTottenham,6,2,1,3,6,6,0,7,"77,519",Harry Kane-2,Hugo Lloris
2016-2017,GR,trBeşiktaş,6,1,4,1,9,14,-5,7,"35,184","Vincent Aboubakar,Ricardo Quaresma-3",Tolga Zengin
2016-2017,GR,uaDynamo Kyiv,6,1,2,3,8,6,+2,5,"25,055","Derlis González,Vitaliy Buyalskyi... -1",Artur Rudko
2016-2017,GR,ruRostov,6,1,2,3,6,12,-6,5,"14,419",Dmitry Poloz-3,Soslan Dzhanayev
2016-2017,GR,deM'Gladbach,6,1,2,3,5,12,-7,5,"46,162",Lars Stindl-2,Yann Sommer
2016-2017,GR,plLegia Warsaw,6,1,1,4,9,24,-15,4,"18,512","Aleksandar Prijović,Miroslav Radović-2",Arkadiusz Malarz
2016-2017,GR,ptSporting CP,6,1,0,5,5,8,-3,3,"45,583",Bruno César-2,Rui Patrício
2016-2017,GR,ruCSKA Moscow,6,0,3,3,5,11,-6,3,"23,147",Alan Dzagoev-2,Igor Akinfeev
2016-2017,GR,bgLudogorets,6,0,3,3,6,15,-9,3,"22,946",Jonathan Cafu-2,Vladislav Stoyanov
2016-2017,GR,sctCeltic,6,0,3,3,5,16,-11,3,"57,781",Moussa Dembélé-3,Craig Gordon
2016-2017,GR,nlPSV Eindhoven,6,0,2,4,4,11,-7,2,"34,130","Davy Pröpper,Luuk de Jong... -1",Jeroen Zoet
2016-2017,GR,chBasel,6,0,2,4,3,12,-9,2,"33,830","Seydou Doumbia,Renato Steffen... -1",Tomáš Vaclík
2016-2017,GR,beClub Brugge,6,0,0,6,2,14,-12,0,"21,092","Jelle Vossen,José Izquierdo-1",Ludovic Butelle
2016-2017,GR,hrDinamo Zagreb,6,0,0,6,0,15,-15,0,"12,577",Dominik Livaković
