Season,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
2017-2018,uaShakhtar,20,27.6,47.5,8,88,720,8.0,11,7,18,11,0,0,,
2017-2018,ruSpartak Moscow,20,27.9,46.2,6,66,540,6.0,9,7,16,9,0,0,,
2017-2018,ptSporting CP,21,26.6,41.3,6,66,540,6.0,7,7,14,7,0,0,,
2017-2018,engTottenham,26,25.6,49.9,8,88,720,8.0,17,15,32,17,0,0,,
2016-2017,engArsenal,21,26.3,48.5,8,88,720,8.0,19,13,32,18,1,2,0,1
2016-2017,esAtlético Madrid,20,26.6,48.3,12,132,"1,080",12.0,15,9,24,12,3,4,0,0
2016-2017,esBarcelona,23,27.0,64.8,10,110,900,10.0,25,17,42,22,3,4,0,1
2016-2017,chBasel,18,27.0,41.8,6,66,540,6.0,3,2,5,3,0,0,0,1
2016-2017,deBayern Munich,21,28.3,66.7,10,110,930,10.3,26,13,39,22,4,5,0,2
2016-2017,ptBenfica,25,25.5,44.3,8,88,720,8.0,11,6,17,9,2,2,0,0
2016-2017,trBeşiktaş,21,29.2,48.5,6,66,540,6.0,9,3,12,7,2,2,0,1
2016-2017,sctCeltic,22,26.5,42.3,6,66,540,6.0,4,2,6,3,1,2,0,0
2016-2017,beClub Brugge,21,26.8,48.3,6,66,540,6.0,2,2,4,2,0,0,0,0
2016-2017,ruCSKA Moscow,19,27.9,39.0,6,66,540,6.0,5,4,9,4,1,1,0,0
2016-2017,hrDinamo Zagreb,24,24.4,31.3,6,66,540,6.0,0,0,0,0,0,0,0,1
2016-2017,deDortmund,25,25.1,62.4,10,110,900,10.0,27,21,48,26,1,2,0,0
2016-2017,uaDynamo Kyiv,24,26.1,50.3,6,66,540,6.0,8,5,13,7,1,2,0,1
2016-2017,dkFC Copenhagen,19,25.5,53.7,6,66,540,6.0,5,5,10,5,0,1,0,1
2016-2017,itJuventus,25,29.9,55.3,13,144,"1,170",13.0,21,10,31,18,3,3,0,2
2016-2017,plLegia Warsaw,22,28.0,37.0,6,66,540,6.0,9,8,17,8,1,1,0,1
2016-2017,engLeicester City,26,28.0,39.5,10,110,900,10.0,11,5,16,9,2,2,0,0
2016-2017,deLeverkusen,26,24.6,50.5,8,88,720,8.0,8,5,13,8,0,1,0,0
2016-2017,bgLudogorets,19,28.5,44.2,6,66,540,6.0,6,4,10,6,0,1,0,0
2016-2017,frLyon,21,25.3,51.5,6,66,540,6.0,5,5,10,5,0,1,0,0
2016-2017,deM'Gladbach,19,25.5,39.0,6,66,540,6.0,5,4,9,5,0,0,0,1
2016-2017,engManchester City,22,28.1,56.5,8,88,720,8.0,18,14,32,17,1,1,0,1
2016-2017,frMonaco,23,25.3,44.6,12,132,"1,080",12.0,21,14,35,21,0,3,0,1
2016-2017,itNapoli,21,26.7,54.4,8,88,720,8.0,13,9,22,11,2,3,0,0
2016-2017,frParis S-G,24,26.6,54.8,8,88,720,8.0,17,14,31,16,1,1,0,1
2016-2017,ptPorto,23,26.0,49.5,8,88,720,8.0,9,7,16,7,2,2,0,1
2016-2017,nlPSV Eindhoven,20,24.9,43.7,6,66,540,6.0,4,2,6,4,0,2,0,0
2016-2017,esReal Madrid,23,27.4,53.7,13,143,"1,200",13.3,34,30,64,34,0,0,0,0
2016-2017,ruRostov,18,29.0,32.5,6,66,540,6.0,6,4,10,5,1,1,0,0
2016-2017,esSevilla,22,27.4,60.5,8,88,720,8.0,9,8,17,9,0,3,0,2
2016-2017,ptSporting CP,21,26.2,48.7,6,66,540,6.0,5,2,7,4,1,1,0,1
2016-2017,engTottenham,21,24.9,63.5,6,66,540,6.0,5,5,10,4,1,1,0,0
2015-2016,engArsenal,24,27.2,45.4,8,88,720,8.0,13,12,25,12,1,1,,
2015-2016,esAtlético Madrid,23,26.3,46.3,13,143,"1,230",13.7,16,13,29,15,1,1,,
2015-2016,esBarcelona,25,27.1,65.3,10,112,900,10.0,22,17,39,20,2,2,,
2015-2016,byBATE Borisov,20,26.2,38.5,12,66,540,6.0,5,5,10,5,0,0,,
2015-2016,deBayern Munich,23,26.8,67.4,12,132,"1,110",12.3,30,21,51,29,1,0,,
2015-2016,ptBenfica,25,26.6,49.8,10,110,900,10.0,15,12,27,15,0,0,,
2015-2016,engChelsea,21,26.6,49.5,8,88,720,8.0,13,7,20,12,1,2,,
2015-2016,ruCSKA Moscow,19,28.0,39.2,10,66,540,6.0,5,3,8,2,3,4,,
2015-2016,hrDinamo Zagreb,20,26.3,41.8,12,66,540,6.0,3,2,5,3,0,0,,
2015-2016,uaDynamo Kyiv,21,27.2,52.3,8,88,720,8.0,9,4,13,8,1,1,,
2015-2016,kzFC Astana,21,26.9,43.0,12,66,540,6.0,3,3,6,3,0,0,,
2015-2016,trGalatasaray,19,29.2,49.5,6,66,540,6.0,5,4,9,4,1,1,,
2015-2016,beGent,18,25.9,52.0,8,88,720,8.0,10,7,17,9,1,1,,
2015-2016,itJuventus,20,28.7,43.0,8,88,750,8.3,10,7,17,10,0,0,,
2015-2016,deLeverkusen,18,24.1,52.7,8,66,540,6.0,13,9,22,11,2,2,,
2015-2016,frLyon,21,25.9,51.5,6,66,540,6.0,5,5,10,5,0,1,,
2015-2016,deM'Gladbach,21,25.4,48.3,6,66,540,6.0,8,8,16,8,0,1,,
2015-2016,ilMaccabi Tel Aviv,20,26.8,43.0,12,66,540,6.0,1,0,1,0,1,1,,
2015-2016,seMalmö,19,26.8,34.8,12,66,540,6.0,1,1,2,1,0,2,,
